geo_id,avIR,4_03.csv,4_04.csv,4_05.csv,4_07.csv,4_08.csv,4_09.csv,4_10.csv,4_11.csv,4_12.csv,4_13.csv,4_14.csv,4_15.csv,4_16.csv,4_17.csv,4_18.csv,4_19.csv,4_20.csv,4_21.csv,4_22.csv,4_23.csv,4_24.csv,4_25.csv,4_26.csv,4_27.csv,4_28.csv,4_29.csv,4_30.csv,5_01.csv,5_02.csv,5_03.csv,5_04.csv,5_05.csv,5_06.csv,5_07.csv,5_08.csv,5_09.csv,5_10.csv,5_11.csv
11220,40.563491231165244,38,15,101,29,71,39,23,66,24,36,26,35,31,32,29,9,19,13,39,33,26,145,-117,15,9,17,19,15,14,24,10,24,13,12,21,16,8,2
11221,31.661152237655187,23,26,78,15,61,48,7,48,11,31,15,42,33,15,13,15,16,11,35,42,18,190,-144,19,8,16,12,13,8,11,9,15,13,3,10,10,4,5
11222,11.545173287646321,9,8,29,4,24,15,5,30,7,9,6,12,5,3,9,4,6,2,12,11,3,74,-66,11,2,5,3,4,1,5,1,0,4,1,4,2,6,1
11223,39.997738978076086,34,21,89,33,101,57,18,58,35,40,39,50,40,20,25,13,24,21,44,39,34,281,-247,15,9,21,16,6,27,11,11,17,17,7,15,18,8,9
11224,25.83142571702774,15,25,61,18,73,47,9,42,13,30,23,37,34,21,14,16,22,20,33,34,18,136,-96,20,12,10,16,24,15,13,10,10,19,6,11,15,7,5
11225,27.325554218972684,23,18,56,19,72,32,15,44,22,32,25,26,26,34,17,10,19,7,32,33,21,171,-153,13,5,8,7,9,11,5,4,6,14,2,9,9,9,3
11226,44.779400313287624,38,30,86,31,114,75,39,97,26,68,59,71,54,33,30,22,55,18,67,63,45,288,-216,42,17,26,23,25,44,15,24,32,10,9,24,21,10,6
11228,17.505359878967283,11,10,50,21,44,22,6,34,9,13,10,25,16,10,10,8,13,3,14,15,11,102,-85,10,2,5,7,8,5,1,3,4,4,1,2,5,2,0
11229,34.820496172163985,22,25,95,38,71,40,7,70,30,39,65,46,54,18,21,15,31,13,25,40,26,193,-163,19,4,13,12,16,16,5,12,9,10,13,27,12,12,6
11230,57.714412935078144,55,43,108,35,78,54,12,68,28,38,47,49,47,40,23,11,36,19,37,52,27,352,-310,37,13,30,23,14,23,24,19,16,23,12,16,14,10,10
11231,9.45397570078785,7,8,22,6,20,6,4,14,6,7,4,7,9,11,4,2,12,2,14,14,4,56,-49,1,0,2,5,1,2,6,3,5,1,0,2,4,1,1
11232,15.217667531469488,14,14,24,10,19,21,5,19,20,12,4,13,6,7,8,5,9,3,11,10,5,66,-53,5,4,6,0,5,8,5,3,3,4,3,8,4,2,0
11233,30.085385653590492,23,31,56,16,53,53,5,52,25,32,18,51,37,28,20,22,20,15,25,46,24,123,-90,16,10,17,23,7,20,15,7,12,8,7,9,11,5,0
11234,60.26225731168961,43,50,135,48,137,85,15,105,40,71,157,66,50,35,34,24,44,25,61,57,33,299,-253,16,17,20,13,23,23,10,6,11,8,8,19,18,5,6
11235,46.865415151907655,38,28,101,42,127,67,19,68,43,38,64,82,68,52,35,22,28,19,51,42,38,287,-235,40,28,32,19,17,32,17,13,19,17,6,12,10,53,4
11236,70.4996017809899,58,52,143,67,131,88,27,129,39,87,119,79,70,53,68,31,40,23,68,61,46,349,-289,32,15,31,24,23,24,22,9,20,17,5,29,30,32,4
11237,24.218602694869332,23,16,46,14,41,36,10,30,9,21,8,34,24,10,10,14,9,6,22,29,16,117,-84,20,3,13,13,23,16,13,8,4,12,8,4,10,4,1
11238,21.527493121910084,19,11,56,11,31,26,5,36,6,12,10,15,18,8,12,6,12,5,19,15,8,103,-88,7,6,12,4,3,6,7,3,6,2,3,7,10,4,3
11239,12.980420614607283,9,20,15,7,20,22,9,20,11,14,18,16,15,13,2,3,12,3,10,13,8,81,-67,5,5,7,5,4,7,3,1,2,6,2,0,4,8,2
11354,28.787958636203257,27,25,40,27,42,46,10,39,22,20,14,39,43,55,21,17,22,19,33,36,36,143,-117,9,12,21,6,9,11,13,6,15,7,4,6,10,5,2
11355,29.96832206936233,25,32,47,14,49,52,11,49,24,28,18,26,34,39,21,22,23,12,32,49,20,179,-149,20,15,13,18,11,14,13,15,13,1,7,11,14,10,3
11356,13.735771925144945,9,17,28,4,22,24,2,28,11,17,10,15,6,7,7,6,12,5,17,15,12,82,-58,4,3,8,3,7,5,-1,4,6,1,2,2,6,6,0
11357,20.51628581481782,10,20,63,13,37,27,8,33,11,25,7,26,14,15,21,10,10,5,18,17,22,117,-106,8,6,4,11,15,6,4,3,7,6,1,6,7,17,2
11358,10.738754354599223,5,9,33,6,35,13,6,24,12,18,5,19,18,7,9,6,12,2,17,21,10,76,-62,8,6,4,6,6,6,1,4,2,4,2,0,3,2,1
11360,8.442248701692733,8,3,21,5,15,9,6,20,4,7,6,8,2,6,3,3,3,5,14,13,13,52,-43,1,4,2,2,0,6,3,1,0,0,1,1,0,1,2
11361,15.423371321587183,12,15,33,7,22,17,5,24,5,7,6,13,14,4,3,3,9,4,19,6,6,65,-54,4,3,7,3,5,3,2,4,3,1,0,4,1,3,4
11362,5.747848300932674,0,3,33,3,14,7,10,9,6,10,3,4,7,2,3,2,16,2,9,9,8,58,-49,4,2,3,4,3,0,1,1,3,2,1,3,3,0,2
11363,5.234295875750831,5,4,10,3,8,2,0,3,1,0,3,1,0,2,1,0,0,1,1,4,2,14,-12,0,0,1,2,0,0,0,1,1,1,1,0,3,0,0
11364,11.283305358680082,9,6,32,4,20,17,5,17,6,17,6,15,11,8,8,6,7,6,18,9,8,68,-59,6,2,4,6,4,4,3,0,3,5,0,4,3,4,0
11365,22.867953490494983,19,20,45,13,32,43,10,29,17,18,17,16,18,18,18,7,16,4,21,33,10,128,-112,12,2,15,13,5,8,12,5,4,2,1,4,4,3,1
11366,12.816730415048369,13,11,20,3,17,17,3,8,5,10,7,12,8,10,2,4,4,5,7,6,6,62,-56,4,3,2,3,2,2,1,1,0,0,0,0,4,1,0
11367,23.9817338477078,22,22,38,13,43,25,8,17,13,15,17,17,14,18,9,9,9,12,39,18,22,189,-165,7,2,14,18,7,12,8,8,12,6,3,8,7,3,0
11368,119.57718776648107,92,109,213,69,404,116,39,111,48,64,53,68,70,48,68,46,56,27,99,95,71,496,-381,91,24,66,53,66,76,42,30,35,60,15,53,53,43,21
11369,44.947789893412846,40,43,61,24,114,67,26,44,20,26,24,24,30,26,22,11,15,9,33,41,27,203,-163,32,10,20,15,12,21,19,16,6,10,7,14,9,13,7
11370,35.77803124473576,30,33,60,21,77,66,14,22,14,36,13,31,35,12,24,14,25,13,30,19,15,201,-171,17,3,11,14,12,9,9,6,2,7,3,5,3,9,2
11372,66.76946201335522,50,59,110,41,275,90,33,73,48,35,34,32,52,51,52,9,23,17,53,60,41,320,-273,30,11,29,19,30,22,20,36,9,27,11,27,23,11,15
11373,89.65771918572864,62,80,159,48,412,135,42,80,34,46,39,53,73,51,41,30,43,13,76,82,34,370,-285,47,16,46,37,26,39,30,36,15,20,5,36,15,17,14
11374,34.26424103319732,41,19,44,23,35,44,11,37,13,24,17,14,22,16,13,15,10,9,16,18,10,177,-155,10,2,8,9,7,3,9,5,5,11,5,13,2,4,7
11375,52.94741037998756,54,40,91,33,48,34,13,65,33,33,23,34,35,30,13,9,23,4,40,37,12,250,-220,20,7,10,12,5,15,13,4,11,10,4,4,3,6,2
11377,62.93174039849691,48,57,116,36,190,90,20,80,21,41,39,42,38,44,27,15,29,16,58,60,45,265,-222,35,19,33,17,26,24,29,14,11,19,14,16,19,15,8
11378,20.41556636631867,21,13,31,11,44,29,11,39,5,17,7,13,17,12,18,6,17,6,29,23,14,111,-92,4,5,10,6,8,11,2,5,3,4,3,4,3,5,2
11379,15.610286222414288,8,16,41,9,40,28,9,31,4,21,17,15,18,11,11,10,17,3,20,37,13,131,-111,11,3,13,10,9,0,11,1,3,7,0,10,7,5,4
