Familial,Age_Gender,Education_level,occupation,Mobility,Income,Race,ClusterID,IR
0.6623169,0.52828753,0.49511015,0.44351837,0.46350518,0.53845096,0.12880751,3,38.88769434
0.09154397,0.07295337,0.8762232,0.83541,0.012835503,0.025516272,0.16758004,0,0.681209992
0.13653153,0.2873985,0.6844364,0.6297052,0.1843934,0.24474946,0.59658396,2,8.880983098
0.10603517,0.08218408,0.8754513,0.83785194,0.026822567,0.039427042,0.239609,0,0.723398937
0.19214135,0.1393638,0.80467993,0.7882169,0.06863806,0.10506958,0.22666878,2,16.93403127
0.33375406,0.24837083,0.7459379,0.7467595,0.23826888,0.22383565,0.7839793,2,21.62991142
0.581683,0.5125808,0.53373736,0.48617673,0.5933734,0.51181716,0.9153134,3,22.86795349
0.65132856,0.6714952,0.29362738,0.2792294,0.8028372,0.73323214,0.84890926,5,66.76946201
0.7890969,0.76012385,0.20112056,0.21447296,0.8744348,0.82413864,0.0693934,5,59.75649246
0.28833026,0.28356522,0.68810356,0.6525924,0.1069752,0.23979872,0.7969218,2,2.984350399
0.13499668,0.101955175,0.8388238,0.8051375,0.051474333,0.062978804,0.12017304,0,12.98042061
0.08112067,0.06399125,0.8799207,0.84105515,0.007603765,0.018432498,0.14529899,0,0.135629535
0.5303273,0.47933438,0.03646019,0.488877,0.6248538,0.4764333,0.16103187,4,36.86643293
0.4945289,0.3859021,0.5883422,0.55832523,0.43761623,0.38412362,0.34613922,3,21.925526
0.1283254,0.09228486,0.8485533,0.81760854,6.62E-06,0.050745487,0.11038923,0,8.199672337
0.30084834,0.19331402,0,0.7638092,0.14553326,0.17314085,0.69933915,2,13.73577193
0.08096436,0.06329894,0.88013,0.8411372,0.004956067,0.017447114,0.17190388,0,0.551048999
0.13197482,0.09987533,0.8413024,0.81348413,0.08163324,0.060211062,0.14001277,2,7.951311154
0.086594135,0.086198896,0.8707539,0.83213985,0.026483893,0.041089237,0.45695508,0,5.754665043
0.89169574,0.8446746,0.16664031,0.17680418,0.8105073,0.9353324,0.6502157,5,37.48167383
0.91955686,0.9029854,0.32798204,0.9573022,0.9115615,0.9884366,0.6478187,6,45.01903335
0.74554634,0.8904869,0.3449576,0.34651074,0.8856159,0.94044775,0.75970745,5,31.8083633
0.87832767,0.82038116,0.15871876,0.074816555,0.8442209,0.8934488,0.39046657,5,52.46425095
0.7537222,0.81389064,0.32929456,0.1707544,0.9074678,0.87090623,0.83313763,6,46.86541515
0.8522208,0.75924265,0.25474724,0.23847742,0.82222974,0.8427651,0.86510456,5,53.65148804
0.57909167,0.5501933,0.49314913,0.4576372,0.70748174,0.54284024,0.8778968,4,35.44092585
0.78251135,0.69505775,0.23144326,0.24361111,0.7328598,0.7662768,0.2867116,4,30.86677433
0.7775739,0.24707031,0.19537601,0.20377195,0.8824928,0.8218099,0.5685551,5,76.70996553
0.4824332,0.513999,0.5238251,0.48293144,0.5095325,0.4894694,0.23989798,3,23.18768865
0.27089685,0.42891023,0.44017202,0.6202557,0.53535825,0.3868099,0.29628128,3,11.54517329
0.93924654,0.8335438,0.1474528,0.19593889,0.7256417,0.94269526,0.92321026,4,70.55109406
0.47054434,0.5399331,0.4117391,0.5980406,0.46072993,0.5834817,0.54235685,3,12.49892135
0.63593155,0.6853782,0.99999994,0.18946072,0.5459219,0.7030748,0.6570658,3,28.09132046
0.74651366,0.665249,0.24979694,0.24682485,0.7952874,0.731522,0.48023954,4,39.92237789
0.35429674,0.44036403,0.45435858,0.60688156,0.50834334,0.42085633,0.7514485,3,15.25745393
0.6252068,0.65125656,0.39688903,0.37171143,0.64992225,0.673337,0.5421198,4,15.52810598
0.8403834,0.78572387,0.18380633,0.19923803,0.8540108,0.8624049,0.27865267,5,30.08538565
0.787393,0,0.9611145,0.42517418,0.5908972,0.71658605,0.18604633,3,36.87011559
0.42011195,0.4432019,0.5676789,0.58451307,0.38959187,0.43012577,0.0688799,3,18.07541782
0.44979644,0.500975,0.45562536,0.5115494,0.57005763,0.48576933,0.8618876,3,34.26424103
0.45800263,0.40594316,0.5610964,0.51576453,0.51073915,0.39209366,0.9111941,3,11.28330536
0.61308515,0.6235773,0.30538988,0.30626857,0.61722386,0.645473,0.95934,4,28.78795864
0.24144562,0.32737178,0.67675275,0.6215199,0.18003616,0.27379894,0.5085107,2,7.866251859
0.46659717,0.499913,0.5319094,0.4585389,0.6097825,0.47582424,0.30188876,3,45.94634701
0.5768932,0.5550006,0.49385655,0.4557158,0.7150084,0.5500077,0.8758007,4,33.15434042
0.4448546,0.5666683,0.40570745,0.38142946,0.5732324,0.5887056,0.5473884,3,10.39471794
0.23276557,0.35849205,0.67666906,0.620444,0.24673367,0.27878895,0.62427753,2,3.339864976
0.34183598,0.5993065,0.40354216,0.37802482,0.49059975,0.59779793,0.5647916,3,13.6732439
0.79756963,0.79484457,0.16267559,0.0824382,0.7878593,0.84974897,0.2032836,4,48.61870262
0.9070678,0.8476883,0.18149668,0.16685694,0.8403316,0.9391409,0,5,57.71441294
0.58147585,0.69497424,0.28968078,0.25533634,0.75458884,0.7453439,0.4476274,4,37.47385673
0,0.8074429,0.28406677,0.16597715,0.6588475,0.8458023,0.9527024,4,25.34038627
0.63078856,0.64697725,0.28527516,0.256141,0.77084434,0.711757,0.29797766,4,27.32555422
0.58878756,0.6572592,0.29369742,0.2633696,0.7689735,0.7228087,0.045946896,4,32.32234107
0.8483538,0.889658,0.113486856,0.1089907,0.9768837,0.96128666,0.9690403,7,89.65771919
0.9339435,0.91391474,0.11646563,0.08374056,0.99952185,1.0000001,0.8507019,7,119.5771878
0.47914267,0.44694552,0.5494507,0.50008726,0.43125185,0.43859002,0.77681565,3,20.51628581
0.51275307,0.458242,0.5497073,0.53832185,0.5839295,0.45734704,0.75293714,3,30.82058097
0.18105829,0.1531027,0.80567265,0.7651518,0.134018,0.11852592,0.49940985,2,12.94083461
0.4728759,0.47809553,0.6562042,0.61556214,0.47323972,0.45421964,0.4274596,3,18.56497578
0.3053677,0.26186305,0.7529439,0.7254016,0.4009152,0.22698295,0.31365687,3,28.23905574
0.5076119,0.41335547,0.56929386,0.5507524,0.4588855,0.4183666,0.7929965,3,23.16400985
0.10711712,0.12934098,0.716157,0.67320865,0.10826746,0.08588469,0.48157674,1,3.89622419
0.75892425,0.86829823,0.118745625,1,0.9274107,0.92547977,0.95498097,6,62.9317404
0.799736,0.7976018,0.19062623,0.21568412,0.9397608,0.86374104,0.7998026,6,62.67091381
0.17945495,0.14848801,0.81137985,0.7616735,0.08808756,0.10954881,0.7586684,2,5.747848301
0.3632641,0.25581846,0.7566414,0.73201513,0.16868192,0.23256823,0.15025309,2,9.773657581
0.2245165,0.2589391,0.7191855,0.6871839,0.22355169,0.21183997,0.6208597,2,14.3022694
0.3465453,0.31436616,0.60703814,0.5691087,0.42566782,0.2937533,0.79035974,3,21.40467723
0.5004916,0.9637959,0.5314876,0.49574602,0.54197943,0.48812097,0.24271831,3,18.11906393
0.5960872,0.52576923,0.52586526,0.4340749,0.44922408,0.52216864,0.43619415,3,25.83142572
0.48027825,0.40701985,0.56464523,0.5406543,0.5601615,0.40277553,0.19424301,3,41.62681075
0.46516478,0.3366385,0.5921561,0.53998476,0.41967237,0.33367288,0.22257537,3,24.14684448
0.28847998,0.31509203,0.6752115,0.65417314,0.37729988,0.2872814,0.5599151,3,17.41464005
0.31137455,0.29619047,0.7425424,0.7057475,0.19937572,0.27076072,0.17655966,2,15.66350492
0.35474065,0.28469506,0.61963254,0.6958743,0.21355188,0.2547016,0.2577999,2,26.35186677
0.5482788,0.45609275,0.54745173,0.48686782,0.4439807,0.44182628,0.5152397,3,31.20877879
0.97890544,0.42168805,0.5565233,0.51612675,0.4942222,0.40618777,0.5275776,3,15.61028622
0.8827716,0.88225317,0.13554147,0.14933261,0.9767628,0.95699155,0.95949376,7,37.00932203
0.367099,0.3925947,0.60651827,0.5131104,0.18322745,0.36265576,0.2801301,2,22.90409672
0.280785,0.42088142,0.45606792,0.6130804,0.5366696,0.38135427,0.60630405,3,15.61657041
0.5842761,0.51378596,0.52250093,0.48183322,0.5264842,0.5110669,0.89078534,3,17.50535988
0.28655067,0.2665485,0.7399843,0.6912221,0.22613358,0.22289813,0.8281428,2,15.42337132
0.76836866,0.9506069,0.24214289,0.30259874,0.6441095,0.71848357,0.19508004,4,54.83170409
0.77535397,0.7488688,0.2705992,0.21850474,0.856736,0.7995044,0.40490308,5,49.07842649
